,FCN loss,Deepcrack,Enet,Deeplabv3,LRASPP,Unet,ECSNet
0,17.14192589,24.20815319,150.1261956,26.74548391,28.55558479,43.96744731,77.59249264
1,7.585976303,14.51527352,87.58313529,11.5276313,13.70415565,24.2853801,52.33760878
2,6.071060732,14.04592845,59.69854943,8.448316693,10.41258103,16.50750066,39.94679096
3,5.248030622,13.28821974,41.9068751,6.657324243,8.567405898,11.99803298,31.95509812
4,4.552829213,13.63720463,31.20981728,5.769686451,7.418842223,9.362475175,25.891111
5,4.538246594,13.16525421,24.40516121,5.054202007,6.545631751,7.504237551,21.3125906
6,4.082029257,12.21129714,20.4071854,4.500746936,5.992843643,6.478645619,17.95409836
7,3.889922567,11.56353642,17.66006412,4.24062261,5.579829047,5.918205928,15.42958605
8,3.88613905,10.91137123,16.12051568,4.130392354,5.303297257,5.327576945,13.46050953
9,3.821616732,10.85070814,15.08268789,4.038381634,5.074444359,5.117203226,12.0022357
10,3.594910393,9.923519439,14.06625846,3.920099778,4.878494566,4.747988464,10.75177132
11,3.490537923,9.389462047,13.43403797,3.638012817,4.883099888,4.558989175,9.754435103
12,3.357700381,9.219611465,12.75663172,3.60507698,4.829369919,4.434365366,8.945031703
13,3.262126631,8.775550486,12.44886378,3.61769278,4.560442269,4.327996632,8.383505035
14,3.277977991,8.568455815,12.22750196,3.377951488,4.494881038,4.205440607,7.837866686
15,3.154797545,8.534206843,11.86264914,3.384974928,4.44549156,3.960657779,7.499394633
16,3.177555561,8.64324387,11.50392239,3.345837531,4.479551883,3.983486377,7.122793827
17,3.111623151,7.930931382,11.4015849,3.255552894,4.425176982,3.808387496,6.904808745
18,2.940287402,7.834046376,11.28766142,3.14845532,4.278060792,3.837212881,6.676831309
19,2.970129892,7.435263259,10.93477356,3.150322302,4.209145831,3.838292718,6.462024879
20,2.957713714,7.473111358,11.12085753,3.188803867,4.210310074,3.765920559,6.449019585
21,2.854692642,7.050243606,10.73621954,3.097093582,4.148729056,3.653218533,6.216610983
22,2.878442531,7.068360333,10.5989049,2.950927173,4.11065015,3.798663335,6.101032004
23,2.747507985,7.009812503,10.51474962,2.914950617,4.085227793,3.81558381,6.077190096
24,2.753684716,7.207066595,10.4201429,2.939904625,4.062865168,3.661120489,5.879961412
25,2.710006973,6.651627237,10.22487559,2.842061546,4.067131238,3.495017549,5.840282829
26,2.636791768,6.936655221,9.970985286,2.848220037,3.973637264,3.596081167,5.728182064
